Months,Days,date time,Average of temp,Average of humid,Average of wind speed
May,12-May,3 PM,38.1,55.9,3.1
May,12-May,4 PM,38.4,55.7,3.0
May,12-May,5 PM,39.5,52.5,2.7
May,12-May,6 PM,37.3,56.3,2.5
May,12-May,7 PM,36.1,60.7,1.5
May,12-May,8 PM,35.6,62.8,2.9
May,12-May,9 PM,34.9,64.9,1.6
May,12-May,10 PM,33.7,70.4,2.5
May,12-May,11 PM,32.7,74.0,2.7
May,13-May,12 AM,32.8,73.0,2.8
May,13-May,1 AM,33.0,71.7,2.1
May,13-May,2 AM,33.0,71.5,1.9
May,13-May,3 AM,33.0,72.0,1.7
May,13-May,4 AM,33.0,71.8,2.2
May,13-May,5 AM,32.9,71.8,1.6
May,13-May,6 AM,33.3,71.6,1.1
May,13-May,7 AM,34.9,68.7,0.8
May,13-May,8 AM,37.9,61.0,3.1
May,13-May,9 AM,41.4,51.6,3.5
May,13-May,10 AM,40.8,49.6,3.1
May,13-May,11 AM,41.5,48.0,2.9
May,13-May,12 PM,42.4,44.7,2.8
May,13-May,1 PM,42.9,43.6,2.7
May,13-May,2 PM,43.0,43.0,2.7
May,13-May,3 PM,44.0,41.7,2.6
May,13-May,4 PM,43.9,42.1,2.5
May,13-May,5 PM,42.5,44.9,2.6
May,13-May,6 PM,39.8,50.8,3.0
May,13-May,7 PM,37.4,55.4,3.3
May,13-May,8 PM,37.0,56.9,2.9
May,13-May,9 PM,35.7,60.8,2.3
May,13-May,10 PM,34.7,63.7,1.8
May,13-May,11 PM,34.5,64.6,1.9
May,14-May,12 AM,34.0,67.5,1.7
May,14-May,1 AM,33.7,68.6,2.4
May,14-May,2 AM,33.5,68.3,2.3
May,14-May,3 AM,33.2,69.4,1.8
May,14-May,4 AM,33.0,70.2,1.9
May,14-May,5 AM,32.7,71.3,1.7
May,14-May,6 AM,33.3,70.5,1.7
May,14-May,7 AM,37.2,61.7,2.4
May,14-May,8 AM,39.1,56.5,3.5
May,14-May,9 AM,40.4,54.3,3.6
May,14-May,10 AM,42.2,50.6,3.0
May,14-May,11 AM,42.8,48.3,3.1
May,14-May,12 PM,43.0,46.7,2.7
May,14-May,1 PM,43.1,44.2,2.4
May,14-May,2 PM,42.9,44.6,2.5
May,14-May,3 PM,42.9,44.5,2.5
May,14-May,4 PM,42.4,45.4,2.3
May,14-May,5 PM,40.2,51.0,2.5
May,14-May,6 PM,38.8,54.9,3.0
May,14-May,7 PM,37.7,57.9,3.9
May,14-May,8 PM,36.9,61.9,2.6
May,14-May,9 PM,36.1,63.5,2.3
May,14-May,10 PM,35.7,64.5,2.2
May,14-May,11 PM,35.4,64.3,2.2
May,15-May,12 AM,34.8,66.9,2.3
May,15-May,1 AM,33.4,70.6,2.7
May,15-May,2 AM,33.2,70.7,2.4
May,15-May,3 AM,33.6,69.0,2.0
May,15-May,4 AM,33.5,69.3,2.1
May,15-May,5 AM,33.4,70.3,2.1
May,15-May,6 AM,33.5,70.6,1.9
May,15-May,7 AM,36.1,65.1,2.1
May,15-May,8 AM,39.5,55.9,2.8
May,15-May,9 AM,40.2,54.0,2.9
May,15-May,10 AM,41.0,52.6,2.8
May,15-May,11 AM,43.0,48.1,2.6
May,15-May,12 PM,43.5,46.9,2.4
May,15-May,1 PM,35.6,64.6,2.7
May,15-May,2 PM,34.1,65.6,2.1
May,15-May,3 PM,33.4,69.5,2.9
May,15-May,4 PM,34.9,64.9,2.4
May,15-May,5 PM,35.8,61.4,2.3
